path,file_name,size_bytes,error_type,error_message
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k01_mfh_k01\centralized\res_cen_t50_cmin_co2_1.pkl,res_cen_t50_cmin_co2_1.pkl,45056,UnpicklingError,pickle data was truncated
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k01_mfh_k01\centralized\res_cen_t80_cmin_co2_095.pkl,res_cen_t80_cmin_co2_095.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k01_mfh_k02\centralized\res_cen_t50_cmin_co2_1.pkl,res_cen_t50_cmin_co2_1.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k01_mfh_k02\centralized\res_cen_t80_cmin_co2_095.pkl,res_cen_t80_cmin_co2_095.pkl,8192,UnpicklingError,pickle data was truncated
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k01_mfh_k03\centralized\res_cen_t50_cmin_co2_1.pkl,res_cen_t50_cmin_co2_1.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k01_mfh_k03\centralized\res_cen_t80_cmin_co2_095.pkl,res_cen_t80_cmin_co2_095.pkl,4096,UnpicklingError,pickle data was truncated
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k01_mfh_k04\centralized\res_cen_t50_cmin_co2_1.pkl,res_cen_t50_cmin_co2_1.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k01_mfh_k04\centralized\res_cen_t80_cmin_co2_095.pkl,res_cen_t80_cmin_co2_095.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k01_mfh_k05\centralized\res_cen_t50_cmin_co2_1.pkl,res_cen_t50_cmin_co2_1.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k01_mfh_k05\centralized\res_cen_t80_cmin_co2_095.pkl,res_cen_t80_cmin_co2_095.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k01_mfh_k06\centralized\res_cen_t50_cmin_co2_1.pkl,res_cen_t50_cmin_co2_1.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k01_mfh_k06\centralized\res_cen_t80_cmin_co2_095.pkl,res_cen_t80_cmin_co2_095.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k01_mfh_reference\centralized\res_cen_t50_cmin_co2_08.pkl,res_cen_t50_cmin_co2_08.pkl,8654848,UnpicklingError,pickle data was truncated
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k01_mfh_reference\centralized\res_cen_t50_cmin_co2_1.pkl,res_cen_t50_cmin_co2_1.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k01_mfh_reference\centralized\res_cen_t80_cmin_co2_1.pkl,res_cen_t80_cmin_co2_1.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k02_mfh_k01\centralized\res_cen_t50_cmin_co2_095.pkl,res_cen_t50_cmin_co2_095.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k02_mfh_k01\centralized\res_cen_t80_cmin_co2_095.pkl,res_cen_t80_cmin_co2_095.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k02_mfh_k02\centralized\res_cen_t50_cmin_co2_1.pkl,res_cen_t50_cmin_co2_1.pkl,65110016,UnpicklingError,pickle data was truncated
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k02_mfh_k02\centralized\res_cen_t80_cmin_co2_095.pkl,res_cen_t80_cmin_co2_095.pkl,4096,UnpicklingError,pickle data was truncated
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k02_mfh_k03\centralized\res_cen_t50_cmin_co2_1.pkl,res_cen_t50_cmin_co2_1.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k02_mfh_k03\centralized\res_cen_t80_cmin_co2_1.pkl,res_cen_t80_cmin_co2_1.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k02_mfh_k04\centralized\res_cen_t50_cmin_co2_1.pkl,res_cen_t50_cmin_co2_1.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k02_mfh_k04\centralized\res_cen_t80_cmin_co2_095.pkl,res_cen_t80_cmin_co2_095.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k02_mfh_k05\centralized\res_cen_t50_cmin_co2_1.pkl,res_cen_t50_cmin_co2_1.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k02_mfh_k05\centralized\res_cen_t80_cmin_co2_095.pkl,res_cen_t80_cmin_co2_095.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k02_mfh_k06\centralized\res_cen_t50_cmin_co2_1.pkl,res_cen_t50_cmin_co2_1.pkl,0,EOFError,Ran out of input
M:\04_ArchivMA\Hillen Maximilian\Veröffentlichungen\UEU\processed_bds_in_DENI03403000SEC5658\combined_cluster_sfh_k02_mfh_k06\centralized\res_cen_t80_cmin_co2_095.pkl,res_cen_t80_cmin_co2_095.pkl,0,EOFError,Ran out of input
